id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50999755,Modern entire townhouse in heart of downtown!!!,20284803,Joseph,,Lincoln Park,39.73397,-104.99658,Entire home/apt,186,29,18,2022-07-30,1.04,1,1,6,2021-BFN-0005475
50834140,The Western Bungalow: Minutes from downtown & zoo,37285323,Daniel,,Whittier,39.75463,-104.96537,Entire home/apt,186,2,74,2022-12-26,4.23,1,358,46,2021-BFN-0004649
50349513,"City Cabin Condo, feat. the Star Room",5066092,Danielle,,Capitol Hill,39.73796,-104.9739,Entire home/apt,185,2,46,2022-12-03,2.52,1,360,24,2021-BFN-0004561
51001286,Classic Contemporary Loft with View | Espadín LoHi,401251189,Espadín,,Highland,39.757935,-105.01548,Entire home/apt,99,1,58,2022-12-18,3.35,44,258,41,2021-BFN-0001467
50355434,Modern Apartment in Prime Location (ID3149X80),263502162,Landing,,Civic Center,39.7357,-104.99288,Entire home/apt,132,30,0,,,76,324,0,
51002125,5-bdrm home . 10 mins from Downtown Denver.,138007836,Mariana,,Valverde,39.72229,-105.02258,Entire home/apt,268,2,30,2022-11-27,2.45,1,253,29,2021-BFN-0010106
51017425,Entire Apartment - NEWLY furnished (30-Day min),54232529,Zach,,Northeast Park Hill,39.76547,-104.93713,Entire home/apt,72,29,5,2022-11-20,0.35,4,180,4,
51018382,Brand new townhouse with private rooftop patio,10557035,Jill,,University Hills,39.677261,-104.935593,Entire home/apt,282,29,2,2022-05-14,0.22,2,352,2,2021-BFN-0002160
51021837,Stylish DU Apt/Business Travelers Welcome/Sleeps 4,198316872,Mary,,University Hills,39.66545,-104.92606,Entire home/apt,136,29,3,2022-09-08,0.37,1,363,3,2021-BFN-0005692
51025592,Private Guest Suite I 5 mins from LoHi  I Easy i70 access,2619306,Zack,,Berkeley,39.78244,-105.02589,Entire home/apt,142,1,103,2022-12-14,5.80,52,358,66,2021-BFN-0005449
51286370,Bright 1 Bed in Cherry Creek House w/ Garden View,13124190,Darryl,,Washington Virginia Vale,39.69187,-104.90846,Private room,60,30,3,2022-05-14,0.21,3,364,2,
51286427,Lovely serviced 1-Bedroom apartment,415310411,Travis,,University Park,39.67129,-104.95792,Entire home/apt,105,29,0,,,1,0,0,
50365353,Cozy unit | private entrance and patio | 1GB WiFi,5872217,Shix,,Cole,39.7629,-104.96009,Entire home/apt,94,1,224,2022-12-12,12.00,1,78,157,2021-BFN-0003347
50377234,Southwest Sanctuary in the City | Espadín LoHi,401251189,Espadín,,Highland,39.758183,-105.015495,Entire home/apt,99,1,30,2022-11-06,1.67,44,262,22,2021-BFN-0001467
50387066,"Capitol Hill 1BR w/ W/D, 4 blocks to Cheesman Park",107434423,Blueground,,Capitol Hill,39.7386121,-104.9737305,Entire home/apt,97,31,1,2022-03-16,0.10,243,356,1,
50394217,Sunset Villa Race St. Keep Guest House,12333471,Ed,,City Park West,39.74183,-104.9621,Private room,195,3,10,2022-05-15,0.56,5,91,2,2022-BFN-0015481
50394880,"Cozy LoHi Studio, yard, walk 2 downtown",258368091,Greyson,,Highland,39.7646,-105.01185,Entire home/apt,80,30,6,2022-07-31,0.35,2,365,4,
51025889,Spacious 2-BR near City Park with outdoor patio,12151201,Austin,,Whittier,39.75799,-104.96108,Entire home/apt,119,1,63,2022-11-21,3.97,1,361,52,2021-BFN-0006455
51751657,Riverfront Top Floor Loft w/ Fireplace,229416868,Janna,,Union Station,39.75353,-105.00579,Entire home/apt,100,29,4,2022-11-04,0.26,1,210,2,
51034081,"LoDo 1BR w/ Gym, Pool, W/D, 1 block to Coors Field",107434423,Blueground,,Five Points,39.7553,-104.99173,Entire home/apt,130,31,2,2021-12-21,0.12,243,313,0,
51034089,"LoDo 1BR w/ Gym, Pool, W/D, 1 block to Coors Field",107434423,Blueground,,Five Points,39.7553,-104.99173,Entire home/apt,132,31,0,,,243,321,0,
51034202,"LoDo 1BR w/ Pool, Gym, 1 block from Commons Park",107434423,Blueground,,Union Station,39.7517988,-105.003911,Entire home/apt,134,31,0,,,243,314,0,
51288205,Lovely Cheesman Park apt on tree lined street V,392360868,Lincolnwood,,Cheesman Park,39.73308,-104.97116,Entire home/apt,90,30,8,2022-11-05,0.49,14,59,5,
51760260,"LoDo 1BR w/ W/D, Gym, nr Union Station & 16th St",107434423,Blueground,,Union Station,39.7544057,-105.0022612,Entire home/apt,123,31,1,2022-09-03,0.25,243,298,1,
51784708,Pet Friendly Modern Victorian in Wash Park,189091538,Lisa,,Washington Park West,39.69855,-104.97838,Entire home/apt,184,31,5,2022-11-28,0.70,1,217,5,
51290375,Vine Street Garden Suite - NE Denver launchpad,26878881,Claire,,Cole,39.76902,-104.96343,Entire home/apt,80,30,2,2021-11-15,0.13,1,237,0,
51296316,"RiNo Studio w/ Gym, Roof, in Brewery District",107434423,Blueground,,Five Points,39.771007,-104.976707,Entire home/apt,130,31,3,2022-10-11,0.21,243,274,2,
51306265,House of Roses- Private One Bedroom Basement Apt,34951934,Ashley,,Platt Park,39.67903,-104.98378,Entire home/apt,90,1,64,2022-12-12,4.36,1,2,50,2021-BFN-0006858
51322079,Luxury Downtown 1BDR with Amenities and Views!,3023868,Ross,,Union Station,39.75528,-105.0043,Entire home/apt,240,30,4,2022-03-07,0.27,4,333,2,
51334194,2  Bed 2 Bath Condo in Washington Park,88204780,Tara,,Speer,39.71849,-104.97728,Entire home/apt,121,30,1,2022-07-31,0.19,1,274,1,
51342252,Beautiful Downtown Denver shared space,184674612,Yasmine,,Five Points,39.7555,-104.98596,Shared room,44,29,0,,,1,0,0,
51347413,Denver Den - 1 bedroom guest house,172259386,Matt,,Skyland,39.7617,-104.95108,Entire home/apt,209,1,9,2022-10-16,0.74,1,357,8,2021-BFN-0010383
51040552,Renovated 2BD 1BA Home in Cole Neighborhood,18487276,Jeremy,,Cole,39.76774,-104.96776,Entire home/apt,164,29,65,2022-12-12,3.66,1,61,40,2019-BFN-0007778
51786350,City Lights,10980586,Anthony,,CBD,39.74516,-104.99619,Entire home/apt,59,29,2,2022-10-08,0.20,1,113,2,
51787986,Studio Condo in Downtown Denver’s Riverfront Park,419532827,Craig,,Union Station,39.7553,-105.00388,Entire home/apt,120,29,3,2022-11-19,0.66,1,335,3,
51044138,Colorful & Modern Artist Home in North Denver!,99684960,Moriah,,Chaffee Park,39.78873,-105.02403,Private room,66,1,5,2022-10-15,1.09,1,28,5,2022-BFN-0007535
51063231,New Listing! Renovated 2br Home in Prime Location!,373022405,Francisco,,Baker,39.70998,-104.98872,Entire home/apt,99,29,19,2022-04-17,1.15,4,365,7,2020-BFN-0000774
51068537,Mid Century Loft | Great View | Espadín LoHi,401251189,Espadín,,Highland,39.757935,-105.01548,Entire home/apt,99,1,43,2022-11-27,2.46,44,253,30,2021-BFN-0001467
